state,account_length,area_code,phone_number,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,international_plan,voice_mail_plan,outcome
22.0,119.0,510.0,?,22.0,?,119.0,29.26,223.6,133.0,19.01,150.0,?,6.75,13.9,20.0,?,1.0,?,1.0,1
5.0,?,510.0,1249.0,0.0,88.1,60.0,14.98,129.7,108.0,?,169.0,87.0,7.61,13.3,4.0,3.59,2.0,0.0,0.0,0
32.0,188.0,415.0,?,26.0,198.8,115.0,33.8,166.6,67.0,14.16,198.5,118.0,8.93,14.4,?,?,1.0,1.0,1.0,1
15.0,130.0,408.0,1763.0,30.0,185.0,117.0,31.45,249.5,?,?,157.8,103.0,7.1,7.4,7.0,2.0,0.0,0.0,1.0,0
49.0,104.0,415.0,912.0,0.0,185.1,91.0,31.47,227.3,115.0,?,198.5,79.0,8.93,12.7,10.0,3.43,2.0,0.0,0.0,0
43.0,150.0,510.0,2448.0,0.0,178.9,101.0,?,169.1,110.0,14.37,148.6,100.0,6.69,13.8,3.0,?,4.0,0.0,0.0,1
12.0,130.0,415.0,1787.0,0.0,150.4,119.0,25.57,230.5,99.0,19.59,186.3,76.0,8.38,12.3,4.0,3.32,1.0,0.0,0.0,0
49.0,101.0,415.0,?,28.0,220.3,96.0,37.45,285.8,72.0,24.29,203.0,111.0,9.14,9.4,6.0,2.54,?,0.0,1.0,0
5.0,111.0,510.0,2564.0,24.0,205.5,?,34.94,219.3,99.0,18.64,215.9,95.0,9.72,14.0,4.0,3.78,1.0,0.0,1.0,0
28.0,90.0,510.0,2210.0,0.0,169.4,127.0,28.8,157.2,111.0,13.36,172.4,103.0,7.76,?,2.0,2.89,1.0,0.0,0.0,0
23.0,53.0,415.0,1627.0,24.0,145.7,?,24.77,220.5,136.0,18.74,249.9,96.0,11.25,13.1,5.0,3.54,3.0,0.0,?,0
28.0,132.0,415.0,468.0,31.0,174.5,101.0,29.67,245.6,105.0,20.88,172.8,76.0,7.78,10.3,9.0,2.78,1.0,0.0,1.0,0
31.0,96.0,510.0,2146.0,0.0,150.0,?,?,218.5,116.0,18.57,212.4,?,9.56,9.8,1.0,2.65,3.0,0.0,0.0,0
33.0,143.0,415.0,1220.0,?,209.1,127.0,35.55,106.1,80.0,9.02,179.6,90.0,8.08,14.0,6.0,3.78,0.0,0.0,0.0,0
28.0,132.0,510.0,2322.0,0.0,163.2,80.0,27.74,167.6,?,14.25,87.5,90.0,3.94,6.2,10.0,1.67,1.0,0.0,0.0,0
45.0,75.0,415.0,2370.0,0.0,224.7,116.0,38.2,?,79.0,?,212.2,98.0,9.55,11.3,?,3.05,?,0.0,0.0,0
34.0,94.0,415.0,?,0.0,190.4,91.0,32.37,92.0,107.0,7.82,224.8,108.0,10.12,13.6,17.0,3.67,2.0,0.0,0.0,0
29.0,115.0,415.0,382.0,0.0,147.7,105.0,25.11,184.1,68.0,15.65,153.5,102.0,6.91,12.7,5.0,3.43,0.0,1.0,0.0,0
26.0,100.0,415.0,3023.0,0.0,96.5,86.0,16.41,210.2,133.0,17.87,146.4,106.0,6.59,12.5,3.0,3.38,1.0,0.0,0.0,1
26.0,122.0,?,1486.0,0.0,190.0,125.0,32.3,141.5,77.0,12.03,216.8,68.0,9.76,15.9,3.0,4.29,3.0,0.0,0.0,0
49.0,13.0,415.0,?,0.0,146.4,?,24.89,148.5,92.0,12.62,216.7,96.0,9.75,11.3,3.0,3.05,1.0,0.0,0.0,0
45.0,?,415.0,3335.0,0.0,111.1,126.0,18.89,313.4,95.0,26.64,215.7,82.0,9.71,10.5,6.0,2.84,1.0,1.0,0.0,0
34.0,68.0,415.0,?,29.0,239.5,?,40.72,203.8,105.0,17.32,?,70.0,7.55,9.9,6.0,2.67,0.0,0.0,1.0,0
39.0,176.0,?,?,?,250.9,108.0,42.65,171.4,100.0,?,148.6,85.0,6.69,9.6,6.0,2.59,2.0,0.0,0.0,0
5.0,103.0,?,4915.0,37.0,153.5,78.0,26.1,241.9,108.0,20.56,244.7,110.0,?,10.6,3.0,2.86,1.0,0.0,1.0,0
45.0,50.0,415.0,2834.0,0.0,99.6,108.0,?,308.7,102.0,26.24,?,62.0,7.25,13.7,6.0,3.7,2.0,1.0,?,1
11.0,135.0,415.0,295.0,0.0,190.9,44.0,32.45,161.4,109.0,13.72,231.9,100.0,10.44,8.4,2.0,2.27,1.0,0.0,0.0,0
44.0,133.0,408.0,3728.0,44.0,174.0,?,29.58,?,113.0,?,224.1,87.0,10.08,?,?,3.81,?,0.0,1.0,1
19.0,106.0,408.0,4998.0,0.0,186.2,97.0,31.65,?,89.0,?,164.3,106.0,7.39,11.0,4.0,2.97,2.0,0.0,0.0,0
34.0,77.0,510.0,4656.0,0.0,124.1,92.0,21.1,214.9,?,18.27,241.3,132.0,10.86,13.7,3.0,3.7,0.0,0.0,0.0,0
33.0,77.0,415.0,515.0,0.0,215.5,81.0,36.64,?,100.0,14.53,170.3,59.0,7.66,10.3,3.0,2.78,1.0,0.0,0.0,0
39.0,?,415.0,3031.0,37.0,60.0,102.0,?,?,80.0,8.69,261.8,106.0,11.78,11.1,3.0,3.0,0.0,0.0,1.0,0
45.0,94.0,415.0,2982.0,0.0,235.6,131.0,40.05,194.8,107.0,16.56,170.6,93.0,7.68,8.6,4.0,2.32,1.0,1.0,0.0,0
5.0,90.0,408.0,3456.0,30.0,183.8,76.0,31.25,229.7,?,19.52,144.1,124.0,6.48,7.7,3.0,2.08,1.0,0.0,1.0,0
21.0,?,510.0,3822.0,0.0,211.3,100.0,35.92,?,91.0,?,217.1,77.0,9.77,?,5.0,1.7,0.0,0.0,0.0,0
44.0,73.0,415.0,3523.0,0.0,182.3,115.0,?,199.2,97.0,16.93,120.2,113.0,5.41,18.0,?,4.86,1.0,0.0,0.0,0
10.0,44.0,510.0,4866.0,0.0,288.1,112.0,48.98,258.0,92.0,21.93,192.4,90.0,8.66,10.2,4.0,2.75,3.0,0.0,0.0,1
23.0,133.0,415.0,3990.0,0.0,128.9,85.0,21.91,201.4,93.0,17.12,?,?,12.39,11.1,?,3.0,1.0,?,0.0,0
20.0,106.0,415.0,821.0,0.0,165.3,118.0,28.1,210.0,101.0,17.85,?,93.0,8.42,8.5,3.0,2.3,2.0,0.0,0.0,0
49.0,115.0,?,4936.0,0.0,249.9,95.0,42.48,242.5,104.0,20.61,151.7,121.0,?,15.3,6.0,?,1.0,1.0,0.0,1
39.0,132.0,415.0,3504.0,18.0,?,86.0,22.22,186.1,98.0,?,?,103.0,9.22,11.9,6.0,3.21,0.0,1.0,?,0
18.0,99.0,510.0,2728.0,0.0,142.3,89.0,24.19,?,95.0,17.38,203.1,114.0,9.14,9.1,1.0,2.46,0.0,0.0,0.0,0
13.0,?,?,?,0.0,195.4,104.0,?,204.9,91.0,17.42,230.2,95.0,10.36,14.0,4.0,3.78,0.0,0.0,0.0,0
36.0,194.0,408.0,67.0,0.0,162.3,88.0,27.59,213.7,118.0,18.16,192.1,81.0,8.64,10.9,2.0,2.94,0.0,0.0,0.0,0
24.0,66.0,?,661.0,36.0,106.7,?,18.14,209.8,77.0,17.83,190.4,117.0,8.57,?,2.0,?,1.0,0.0,?,0
37.0,33.0,415.0,2737.0,?,157.4,?,26.76,117.9,?,10.02,279.2,79.0,12.56,13.9,11.0,3.75,4.0,0.0,1.0,1
26.0,74.0,415.0,?,0.0,162.7,102.0,27.66,292.0,105.0,?,183.3,80.0,8.25,8.7,6.0,2.35,0.0,?,0.0,0
?,?,415.0,92.0,0.0,102.7,89.0,17.46,149.3,100.0,12.69,188.1,114.0,8.46,11.0,5.0,2.97,0.0,?,0.0,0
