state,account_length,area_code,phone_number,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,international_plan,voice_mail_plan,outcome
22.0,119.0,?,439.0,22.0,172.1,119.0,29.26,?,?,?,?,94.0,?,13.9,20.0,?,1.0,1.0,?,1
5.0,?,510.0,1249.0,0.0,?,60.0,14.98,129.7,?,?,169.0,87.0,7.61,13.3,4.0,3.59,2.0,?,0.0,0
?,?,?,2204.0,26.0,198.8,115.0,33.8,166.6,67.0,14.16,198.5,118.0,?,14.4,?,3.89,1.0,?,?,1
?,?,?,1763.0,30.0,185.0,?,31.45,249.5,141.0,21.21,157.8,103.0,?,7.4,7.0,2.0,?,0.0,1.0,0
?,104.0,?,912.0,0.0,?,91.0,?,227.3,?,?,198.5,79.0,8.93,12.7,10.0,3.43,2.0,?,0.0,0
?,150.0,510.0,?,0.0,178.9,101.0,30.41,169.1,110.0,?,148.6,100.0,6.69,13.8,3.0,?,4.0,0.0,?,1
12.0,?,?,1787.0,0.0,150.4,?,25.57,230.5,99.0,19.59,?,76.0,8.38,12.3,4.0,3.32,1.0,0.0,?,0
49.0,101.0,?,2114.0,?,220.3,96.0,37.45,285.8,72.0,24.29,203.0,111.0,?,9.4,6.0,2.54,?,0.0,?,0
5.0,111.0,?,2564.0,24.0,?,?,?,219.3,99.0,?,215.9,95.0,9.72,14.0,4.0,?,1.0,0.0,1.0,0
28.0,90.0,?,?,0.0,169.4,127.0,28.8,157.2,111.0,13.36,172.4,103.0,7.76,10.7,?,2.89,?,?,0.0,0
23.0,53.0,415.0,?,24.0,?,146.0,24.77,220.5,?,?,249.9,96.0,11.25,13.1,5.0,3.54,3.0,0.0,1.0,0
?,?,?,?,31.0,174.5,101.0,29.67,245.6,105.0,?,?,76.0,7.78,10.3,9.0,2.78,1.0,?,1.0,0
31.0,96.0,?,?,0.0,150.0,122.0,25.5,218.5,116.0,18.57,?,89.0,9.56,9.8,1.0,?,?,0.0,?,0
?,143.0,415.0,1220.0,0.0,?,127.0,35.55,?,80.0,?,179.6,90.0,8.08,14.0,6.0,3.78,0.0,0.0,0.0,0
28.0,132.0,510.0,2322.0,0.0,?,80.0,27.74,167.6,90.0,?,?,90.0,?,6.2,?,1.67,1.0,0.0,0.0,0
45.0,75.0,415.0,2370.0,0.0,?,116.0,38.2,192.0,?,16.32,212.2,98.0,9.55,11.3,11.0,3.05,3.0,0.0,0.0,0
34.0,?,415.0,1855.0,0.0,190.4,91.0,32.37,92.0,107.0,7.82,224.8,108.0,10.12,13.6,?,?,2.0,0.0,0.0,0
29.0,115.0,415.0,?,0.0,?,105.0,25.11,184.1,?,15.65,153.5,102.0,6.91,12.7,5.0,3.43,0.0,?,?,0
26.0,100.0,415.0,3023.0,0.0,96.5,86.0,?,210.2,133.0,17.87,?,106.0,6.59,12.5,3.0,3.38,1.0,0.0,0.0,1
?,122.0,?,?,0.0,190.0,125.0,32.3,141.5,?,?,216.8,68.0,9.76,15.9,3.0,?,?,0.0,0.0,0
49.0,13.0,?,?,0.0,?,74.0,24.89,148.5,92.0,12.62,216.7,96.0,9.75,11.3,3.0,3.05,?,?,0.0,0
45.0,?,415.0,3335.0,0.0,111.1,?,?,313.4,95.0,26.64,?,82.0,9.71,?,6.0,2.84,1.0,1.0,?,0
34.0,68.0,?,1149.0,29.0,?,82.0,40.72,203.8,105.0,?,167.8,70.0,7.55,9.9,?,2.67,0.0,?,?,0
39.0,?,415.0,3886.0,?,250.9,?,?,?,100.0,14.57,148.6,?,6.69,?,6.0,2.59,2.0,0.0,?,0
5.0,?,415.0,4915.0,37.0,153.5,?,?,241.9,108.0,20.56,244.7,?,?,10.6,3.0,2.86,?,?,1.0,0
